"Stratum","ACE","Deviation_pct"
"Low",-0.000276316481620098,79.413204365256
"Mid",-0.000212665218385566,84.1555039936373
"High",-0.000118043961973346,91.2052046015774
"Global",-0.00134220248028189,0
