Variable,N,Mean,SD,W_Mean,W_SD
HbA1c (Y),3255,5.854807987711213,1.0837604203594318,5.669380964788495,0.8975743320445205
Diet Score (X),3255,53.187151281188775,13.850955623586854,52.52105806992549,13.607559884318498
Income Ratio (C1),3255,2.627668202764977,1.6083475011921275,3.1790182674223857,1.6121844374089849
BMI (C2),3255,30.10768049155146,7.145396392713826,29.963370648485018,6.950101700300371
