mean_ace,min_ace,max_ace,ace_heterogeneity,mean_std_ace
-6.097607592920308e-4,-0.0012426854944014587,-2.610636138461519e-4,3.259466506922003e-4,-0.007579216510307122
3.554342640878087e-4,6.151404168559921e-5,0.001034276137936059,3.3175932178372135e-4,0.004276319055748829
2.369527315992001e-4,3.5224282586051666e-5,6.491353917602053e-4,2.2465644427680528e-4,0.002424963116773904
-7.894180035447565e-4,-0.001202053023930203,-4.062303772641962e-4,3.2287516268239547e-4,-0.008769112639234942
2.342249619263562e-4,1.4273214692432092e-4,2.9983474649202517e-4,5.516504738645051e-5,0.0024161541325114027
5.404301004457042e-5,1.4025646969349891e-5,1.2354273525730193e-4,3.8970133441015746e-5,5.851741159426467e-4
-8.721374038257039e-4,-0.0016200740371686247,-4.042324625196548e-4,4.055598108008115e-4,-0.010412287395787494
5.144229589825602e-4,2.493183686978009e-4,9.008860321236416e-4,2.2669074763064287e-4,0.005246162371732682
-8.505695830351954e-4,-0.0014713192960308687,-3.618597784267482e-4,4.1812968533539986e-4,-0.009569003095929325
5.102123345304321e-4,1.266470168209078e-4,0.0013197133737141555,4.024395007626461e-4,0.005823619395195862
7.646861944210992e-5,4.2327746880778297e-5,1.366828467044218e-4,3.4903808029986225e-5,8.239716795185719e-4
-6.329412049933757e-4,-0.0010713375997317273,-2.8183795495599547e-4,2.8263980638220895e-4,-0.0062849466747574075
-3.4503034488273004e-4,-5.990829957125917e-4,-1.4838331939736522e-4,1.5366358936503443e-4,-0.004554876852163353
-6.53376103533338e-4,-0.0010556691810584026,-3.121964490357068e-4,2.807444549612251e-4,-0.008045491721463113
4.0485796291153556e-4,9.803424814852723e-5,9.077766771412679e-4,2.888080860166625e-4,0.004658861793007387
-9.869472903556841e-4,-0.001184415612090061,-7.33928851913845e-4,1.565367333963228e-4,-0.011514543743433303
3.1299134465923836e-4,2.0850958746429236e-4,3.6573419628619974e-4,5.761974628045617e-5,0.0036934409205009724
-2.0829880822446337e-4,-3.762968358129759e-4,-9.504594580348251e-5,9.367211585171291e-5,-0.002505968241331271
-7.588026411727061e-4,-9.227943270328874e-4,-5.033419667867746e-4,1.542145490654808e-4,-0.008242412929084428
-6.830850569673839e-4,-0.0011326808202343339,-3.0734817072920203e-4,2.9873166527678835e-4,-0.007797732294021746
-8.38456325614959e-4,-0.0013967389288080403,-4.1003685605222473e-4,3.38484216416059e-4,-0.009355475897322442
-5.63094643906095e-4,-9.808047629357593e-4,-3.02373506253024e-4,2.4244465388383068e-4,-0.00661690106643595
-7.654426903393401e-4,-0.0012589045597489379,-3.526042605526182e-4,3.2079363961114496e-4,-0.008589240730324889
-5.546162599331947e-4,-6.794163702639973e-4,-3.6839361622429046e-4,1.1226650509363856e-4,-0.0061439842244734675
-0.0018968369451544205,-0.0023432038372582773,-0.0012578350068314578,4.2399171677251414e-4,-0.02262309642176858
-7.072404993432722e-4,-0.0010691261215623985,-5.469654147196708e-4,1.7314064471416214e-4,-0.008368029799353778
-2.9522708475382485e-4,-5.093850872885167e-4,-1.2303995331715587e-4,1.3089519908967935e-4,-0.0031072182341317207
5.809120806198996e-4,1.8041485831103032e-4,0.0014641855541102497,4.4893129870764566e-4,0.007435458557453817
-0.0014185197396796038,-0.002422967465392323,-6.683060456468632e-4,6.185551454214441e-4,-0.01605020408335791
-2.507060512908524e-4,-3.9077423250860827e-4,-1.1585222026553381e-4,9.991454787302339e-5,-0.002768412036561198
2.828780902873182e-4,1.7197053412709628e-4,3.440697851169013e-4,6.385056849546597e-5,0.0032482388661746494
-2.5628992905417543e-4,-3.6013763492960435e-4,-2.0126086114978357e-4,6.033206873363325e-5,-0.002696133675261074
7.979648471685279e-4,1.397084587160938e-4,0.00230243816881179,7.449431209170145e-4,0.008821908288097226
1.7903741419624973e-4,9.438523764736507e-5,2.1625934130498395e-4,4.2944715934213776e-5,0.002182860233001305
-2.533593747757446e-4,-4.2548602553518376e-4,-1.2586808150776265e-4,1.084556291897853e-4,-0.002686674797744997
-2.7972552506738983e-4,-4.5536952895518397e-4,-1.216961300964687e-4,1.1924191737200255e-4,-0.0033674719442908243
-0.0011515444873728897,-0.0018247216151335208,-5.819072251054526e-4,4.5249501223648485e-4,-0.01310296331814132
3.5078031734614944e-4,1.8284596177735578e-4,7.011429168480586e-4,1.8386435567634824e-4,0.004455655726404586
-1.1298473083651355e-4,-1.4589819425742584e-4,-9.299008399260351e-5,2.0764639006016066e-5,-0.0012834976811019175
2.1871421269264473e-4,1.3314674365557503e-4,2.748002513955586e-4,5.208004689097352e-5,0.0023946856864892887
1.1131017640861722e-4,7.0415586785729e-5,1.3860199743232732e-4,2.2959936202215918e-5,0.0013381685807752296
2.0234810569731557e-4,8.720349027645069e-5,3.3722562557325246e-4,8.575858767235928e-5,0.002200036615700392
4.3320507148099824e-4,2.9001202996265776e-4,5.104352144640064e-4,8.149893864515592e-5,0.005124647611582423
-0.0012606418527941526,-0.002688566466011451,-4.902468733808473e-4,7.861083688846933e-4,-0.01358166253144929
2.787257451173181e-4,8.097594908249386e-5,5.770399809137119e-4,1.78168469149232e-4,0.003096237573476971
-5.415179797304352e-4,-0.0010100826514402178,-2.6703430428555235e-4,2.713880545784865e-4,-0.0059274926327923284
-0.0010751203510277318,-0.0016880906771951517,-5.13855641969348e-4,4.574311257839667e-4,-0.01153408784695532
-6.416099858016311e-4,-0.0010259778323330653,-3.4861916365877543e-4,2.556806761470034e-4,-0.007505365336810386
-6.312651349514979e-4,-0.0010295283386882806,-3.059288265059512e-4,2.5214980877157295e-4,-0.007163092663441559
1.7144576058175968e-4,1.011507668550566e-4,2.2312574668826083e-4,4.123917704789384e-5,0.0018839144794240625
-8.801155730755451e-5,-1.2851624689087394e-4,-7.236974809008716e-5,1.902748945149905e-5,-9.035039137103434e-4
-4.248248728391432e-4,-7.405145168890996e-4,-1.8797681284701427e-4,1.9299803997138864e-4,-0.004944956374773726
3.837405435803286e-4,2.1449485248635047e-4,4.799679799166511e-4,8.899699322454502e-5,0.004512884648568855
1.4181066542384073e-4,1.0190357477282854e-4,2.0585290517528512e-4,3.9845287710860706e-5,0.0014603363142267549
-1.4543321162599065e-4,-1.8589492548847243e-4,-1.1395705971950428e-4,2.5307318514915445e-5,-0.001677892687258808
-7.561928685258366e-4,-0.0013183438255680757,-3.39319986558992e-4,3.504144339037199e-4,-0.00801561267006687
-0.001251723740452008,-0.0021523182998389864,-5.459804289829547e-4,5.857879758874385e-4,-0.013520598274903161
-0.001221471615227055,-0.0021069911183054196,-6.555434742592163e-4,5.215878037622419e-4,-0.014150194174407356
-8.501723153507562e-4,-0.0012095287227712607,-6.827295923173502e-4,1.6675049165457457e-4,-0.008566965414400685
-6.78884653673628e-4,-8.246273208794773e-4,-5.022485332377927e-4,1.1098680972444831e-4,-0.007979276187984548
-0.001677268016173268,-0.002896866875584071,-7.548001401361459e-4,7.051649882707976e-4,-0.019084196657136596
-0.002130542716775358,-0.0023678852019687166,-0.0018789694246927947,1.8517497010385106e-4,-0.023200357102655566
-5.678439508034662e-4,-0.0010539206137171278,-2.5608573679509957e-4,2.7640484457043047e-4,-0.0066582276651484485
4.973694776461405e-4,8.494307840972499e-5,0.0013062588945163846,4.489581496005639e-4,0.005420745848601935
-2.675953107128694e-4,-4.935110524950687e-4,-1.3134147437475884e-4,1.2546495179728917e-4,-0.0030796659561607644
-5.024155509233446e-4,-9.082814592008201e-4,-2.7562473238657107e-4,2.179846426186784e-4,-0.005527833240537419
1.193581823308897e-4,6.889695950773451e-5,1.596318689576741e-4,3.0080133790797248e-5,0.001329264930527134
1.3373193274099495e-4,8.137144139327422e-5,1.6192379731828522e-4,2.7987627163838293e-5,0.0014152400423479872
-6.909675536304313e-4,-0.0010596844990605554,-3.1112366177981444e-4,2.515343132192293e-4,-0.007593999258325778
-4.969222836472007e-4,-8.493662334511861e-4,-2.604703326424976e-4,2.1515253367627722e-4,-0.005129047697905979
-1.5326724896733853e-4,-2.020611117038007e-4,-1.2798530050124086e-4,2.8593061977769656e-5,-0.0015159686609387286
-8.133586395764672e-4,-0.0010563095040512095,-6.691696154394232e-4,1.430397298617297e-4,-0.009546511617814177
6.647874967106029e-4,3.962527251849997e-4,8.356946061113745e-4,1.6947163232581004e-4,0.006998578784131433
1.6672631907869447e-4,9.707474626878661e-5,2.1466619583768488e-4,4.0779608590261394e-5,0.001860997530044439
-2.221785740481021e-4,-4.2555187823381307e-4,-8.219484328858571e-5,1.2489790732494056e-4,-0.002295135401716607
-9.042153076489684e-4,-0.0015799386581211263,-4.534022485310401e-4,3.868015566953847e-4,-0.01032525950157946
-1.356927727583319e-4,-2.2620385230231248e-4,-5.806947355998788e-5,6.093144755686563e-5,-0.001617454096451382
-9.045060350584051e-4,-0.0018579129634691172,-2.796303692176699e-4,5.664220933195979e-4,-0.010717335319524198
-2.1542735693527048e-4,-3.742304472019205e-4,-1.0287883969693537e-4,9.68106659611282e-5,-0.0025714321513074104
-1.5793204084193176e-4,-2.595108921871216e-4,-8.099575774753275e-5,6.768616247092102e-5,-0.0018012196412227606
5.118247089628324e-4,2.9527280102911155e-4,6.374855649702662e-4,1.192265130067279e-4,0.005476092225677991
-2.1651798203884258e-4,-3.9357226716676757e-4,-9.842734745550123e-5,1.0037943741896941e-4,-0.0025934971678447383
5.117890298781476e-4,2.8199662002110343e-4,6.371664288793325e-4,1.3730361966236658e-4,0.006127419605048406
3.6650662716337945e-4,6.373103864020181e-5,0.001069049875293099,3.5479880889592125e-4,0.004284325835102995
-6.586692212867684e-4,-0.0010589861115426536,-2.88076748636908e-4,2.759371527953786e-4,-0.0071650867733116415
-0.0011792291556154174,-0.001979621430780167,-5.794435594202822e-4,4.7678525431351537e-4,-0.013818024520105407
-3.2646926923529424e-4,-4.5468647283037673e-4,-2.3939602989583788e-4,6.507013706726369e-5,-0.003427514234456738
3.8329148815109237e-4,2.3676774203656067e-4,4.5988700011182507e-4,8.537355284339996e-5,0.004536714218922748
1.2429836394931611e-4,1.8198416604233635e-5,3.632287029251233e-4,1.2086735025230648e-4,0.001376532951654402
-4.40692983604706e-4,-8.837647886629522e-4,-1.6195717849619914e-4,2.4939753196777473e-4,-0.005175403038064039
-1.6614635408363185e-4,-2.657408883104964e-4,-7.763162173000437e-5,6.57549298208354e-5,-0.0020689600396036423
-0.0010069522708473836,-0.0014736050536806094,-4.858110120232731e-4,3.703253639210264e-4,-0.011143185004429559
-5.338648043504827e-4,-6.620638556464123e-4,-4.507688754325871e-4,7.998652037344028e-5,-0.005932944453678146
2.586646191707599e-4,1.4729718172077133e-4,3.334170233923968e-4,6.0320709951422803e-5,0.0028747578375616055
6.436179919054408e-5,5.015716980780336e-5,8.439898933885197e-5,1.151573480115372e-5,7.236893470937927e-4
-4.519027186463526e-4,-7.302723404846241e-4,-2.430739661214926e-4,1.7074883424460926e-4,-0.004821639383271295
4.3473771834494216e-4,5.6166925083779305e-5,0.001356452798825614,4.513866079398469e-4,0.004874004934787352
-5.32243117388325e-4,-6.715780395855684e-4,-3.202637525245315e-4,1.2530397981870268e-4,-0.00546651115936028
3.5638797522711266e-4,5.713630179993502e-5,0.0010003678982135203,3.285997662804073e-4,0.0038501365419028044
-4.1957989257616077e-4,-7.095847230207096e-4,-1.7228336816767356e-4,1.7826482892971062e-4,-0.0051841387307080605
-1.613094491423846e-4,-3.008631157203799e-4,-8.218431264590036e-5,7.550298302904442e-5,-0.001714481634361989
-5.463378211985474e-4,-8.367457462638331e-4,-2.5325903468711075e-4,2.056583356542909e-4,-0.00582590568187993
-1.9481684402213696e-4,-3.073647949401892e-4,-8.67069140894208e-5,7.944463176694917e-5,-0.0023520246245019812
-5.468242144695314e-4,-9.155365195172339e-4,-2.7074122732081816e-4,2.287617192404023e-4,-0.0057763053034049295
-2.1936513181246577e-4,-2.761572594245373e-4,-1.2306283176504303e-4,4.923119418630107e-5,-0.0023343210367024205
3.731534769992769e-5,2.4533515177655917e-5,4.8087833224790754e-5,9.128125002369588e-6,4.2951243987863043e-4
1.8237105545425452e-4,9.160137781292703e-5,2.2606962108280638e-4,4.8644822490117454e-5,0.002197967067021844
-3.921096199649249e-4,-5.92123868034317e-4,-1.7402668133356433e-4,1.6743062029178936e-4,-0.004627838273672174
2.160713341285059e-4,9.61897887579552e-5,3.7334602239904235e-4,9.51584626104641e-5,0.0021365910489020722
-5.738488320662665e-4,-7.182001975317965e-4,-3.834467905148397e-4,1.1803246677390772e-4,-0.006314696678027462
5.22576156311345e-4,3.6739569622149735e-4,6.273772233863044e-4,1.0101391285515543e-4,0.0055777921533067655
-3.636367019076827e-4,-4.839008707725432e-4,-2.108208904714177e-4,8.834739883635106e-5,-0.003769656401429873
-1.9897797734004798e-4,-2.580072681352086e-4,-1.3378815750067914e-4,4.2539556176441586e-5,-0.0024910953502081884
-7.38516719961127e-4,-0.0014159989220242683,-2.854789987614031e-4,4.243199949148129e-4,-0.007836299588152157
1.2966585991844353e-4,4.858485981367904e-5,2.405107354005517e-4,6.455735946435051e-5,0.0013182810228743512
-8.692823787399117e-4,-0.0011059430712164412,-6.230836551454475e-4,1.4699747707542452e-4,-0.009871548017523324
-2.1221486403213003e-4,-2.797100094429699e-4,-1.7185313789992235e-4,3.735482885354336e-5,-0.0022826118861109645
5.219754141784279e-4,3.216115770827648e-4,6.320786050551759e-4,1.0994300406618992e-4,0.005917282674916146
-3.499392389296553e-4,-8.945757591559186e-4,-8.220079089111546e-5,2.718006747036514e-4,-0.0037972263008274366
-0.0012028147826059446,-0.0022044669145522195,-5.605909142973371e-4,5.58812330811602e-4,-0.014330645924705433
0.0012963977890475596,9.581756642207743e-4,0.0017118068551271206,2.6297203744016315e-4,0.013596906090962382
-8.317575385867807e-4,-0.0013121024154752504,-4.2943759723962187e-4,3.201013354078961e-4,-0.008322463871759535
-1.0705524899372998e-4,-1.5934182151278514e-4,-8.181567598340665e-5,2.9679282896521297e-5,-0.0013229777025108135
-6.868790716271525e-4,-0.0012459980490698687,-3.5635094431434847e-4,3.176879961524876e-4,-0.007750691290292758
-6.762468402841785e-4,-0.0012176020987064264,-3.1153457630066146e-4,3.178445769854042e-4,-0.007746678274777981
