x,mu_interventional,mu_observational,ace_interventional,ace_standardized,method
31.545211466016777,4.899999728872726,4.8999999996510875,0,0,Kernel (TLL nonpar)
32.713396008118764,4.899999728872726,4.899999999621169,0,0,Kernel (TLL nonpar)
33.88158055022075,4.899999728872726,4.899999999599147,0,0,Kernel (TLL nonpar)
35.04976509232274,4.899999728872726,4.899999999553617,0,0,Kernel (TLL nonpar)
36.21794963442472,4.899999728872726,4.899999999513139,0,0,Kernel (TLL nonpar)
37.38613417652671,4.899999728872726,4.899999999479527,0,0,Kernel (TLL nonpar)
38.55431871862869,4.899999728872726,4.899999999436541,0,0,Kernel (TLL nonpar)
39.722503260730676,4.899999728872726,4.899999999396053,0,0,Kernel (TLL nonpar)
40.890687802832666,4.899999728872726,4.8999999993370444,0,0,Kernel (TLL nonpar)
42.05887234493465,4.899999728872726,4.899999999278262,0,0,Kernel (TLL nonpar)
43.22705688703664,4.899999728872726,4.8999999992051455,0,0,Kernel (TLL nonpar)
44.39524142913862,4.899999728872726,4.899999999153039,0,0,Kernel (TLL nonpar)
45.563425971240605,4.899999728872726,4.899999999102302,0,0,Kernel (TLL nonpar)
46.731610513342595,4.899999728872726,4.899999999045399,0,0,Kernel (TLL nonpar)
47.89979505544458,4.899999728872726,4.89999999897168,0,0,Kernel (TLL nonpar)
49.06797959754657,4.899999728872726,4.899999998895205,0,0,Kernel (TLL nonpar)
50.23616413964855,4.899999728872726,4.899999998836231,0,0,Kernel (TLL nonpar)
51.404348681750534,4.899999728872726,4.899999998776279,0,0,Kernel (TLL nonpar)
52.572533223852524,4.899999728872726,4.899999998722224,0,0,Kernel (TLL nonpar)
53.74071776595451,4.899999728872726,4.899999998661422,0,0,Kernel (TLL nonpar)
54.9089023080565,4.899999728872726,4.899999998593571,0,0,Kernel (TLL nonpar)
56.07708685015848,4.899999728872726,4.899999998529079,0,0,Kernel (TLL nonpar)
57.24527139226046,4.899999728872726,4.89999999845431,0,0,Kernel (TLL nonpar)
58.41345593436245,4.899999728872726,4.899999998402527,0,0,Kernel (TLL nonpar)
59.58164047646444,4.899999728872726,4.899999998347692,0,0,Kernel (TLL nonpar)
60.749825018566426,4.899999728872726,4.899999998304741,0,0,Kernel (TLL nonpar)
61.91800956066841,4.899999728872726,4.8999999982483,0,0,Kernel (TLL nonpar)
63.08619410277039,4.899999728872726,4.8999999981926425,0,0,Kernel (TLL nonpar)
64.25437864487238,4.899999728872726,4.899999998149974,0,0,Kernel (TLL nonpar)
65.42256318697437,4.899999728872726,4.899999998117782,0,0,Kernel (TLL nonpar)
66.59074772907636,4.899999728872726,4.899999998065258,0,0,Kernel (TLL nonpar)
67.75893227117834,4.899999728872726,4.899999998021335,0,0,Kernel (TLL nonpar)
68.92711681328032,4.899999728872726,4.899999997993152,0,0,Kernel (TLL nonpar)
70.0953013553823,4.899999728872726,4.899999997962139,0,0,Kernel (TLL nonpar)
71.2634858974843,4.899999728872726,4.89999999792767,0,0,Kernel (TLL nonpar)
72.43167043958628,4.899999728872726,4.899999997905028,0,0,Kernel (TLL nonpar)
73.59985498168827,4.899999728872726,4.899999997881893,0,0,Kernel (TLL nonpar)
74.76803952379025,4.899999728872726,4.899999997859552,0,0,Kernel (TLL nonpar)
75.93622406589223,4.899999728872726,4.89999999783989,0,0,Kernel (TLL nonpar)
77.10440860799423,4.899999728872726,4.899999997824667,0,0,Kernel (TLL nonpar)
