"Metric","rho","pval"
"vs. HbA1c (Y)",0.0488841495364582,0.00527789499757214
"vs. BMI (C2)",-0.127909237048316,2.39152482172755e-13
"vs. Income (C1)",0.159099900965985,6.73699609468268e-20
"vs. Age",0.183917957508741,3.71591383452513e-26
