Family,LogLik,AIC,BIC,KendallTau,Pair
gum180,1.9099454615212297,-1.8198909230424594,4.26805663160021,0.018799369556233958,"(X, Y)"
joe180,0.9751612593328145,0.049677481334371,6.13762503597704,0.010287675413996111,"(X, Y)"
BB1_180,2.6249172695629146,-1.2498345391258292,10.92606057015951,0.023880205910758456,"(X, Y)"
BB6_180,1.8728207309435094,0.25435853811298115,12.43025364739832,0.018693498748126425,"(X, Y)"
BB7_180,2.440532479504957,-0.8810649590099144,11.294830150275423,0.02218551931589352,"(X, Y)"
BB8_180,3.9878295479478454,-3.9756590958956908,8.200236013389649,0.03285154739468621,"(X, Y)"
clay90,2.3804322249183176,-2.7608644498366353,3.327083104806034,0.020260025307028,"(X, Y)"
gum90,1.9099454615212297,-1.8198909230424594,4.26805663160021,0.018799369556233958,"(X, Y)"
joe90,0.9751612593328145,0.049677481334371,6.13762503597704,0.010287675413996111,"(X, Y)"
clay270,2.3804322249183176,-2.7608644498366353,3.327083104806034,0.020260025307028,"(X, Y)"
gum270,1.9099454615212297,-1.8198909230424594,4.26805663160021,0.018799369556233958,"(X, Y)"
joe270,0.9751612593328145,0.049677481334371,6.13762503597704,0.010287675413996111,"(X, Y)"
