mean_ace,min_ace,max_ace,ace_heterogeneity,mean_std_ace
-4.771509085093765e-4,-9.333682731947162e-4,-1.8067734699847324e-4,2.640738006043452e-4,-0.006044683970656796
-0.0015698079457283026,-0.002002731697884936,-8.929825386338444e-4,3.8768013429760505e-4,-0.019214733887666726
-0.0012814914346122492,-0.002420543156890636,-4.6321485292687674e-4,6.787716627362001e-4,-0.016449034033722162
-0.001351128441523412,-0.0020343780312623762,-9.745371226512175e-4,3.960744712695449e-4,-0.017198595509924468
-0.0011340641589786841,-0.0013637596541383847,-8.420219100423098e-4,2.0462964525373134e-4,-0.014409052091500854
-0.0012845124066338993,-0.0016365062391150752,-9.269203140547651e-4,2.688337306449562e-4,-0.0167787181618735
-0.00155065761546766,-0.0021834397397105954,-6.582001910254191e-4,5.488169083863225e-4,-0.01954349875896386
-0.0015120753725110343,-0.0020087641220757056,-7.448161929236024e-4,4.521008626579062e-4,-0.018827270621946234
-6.43418228035349e-4,-0.0013126211170010856,-2.0393006354715122e-4,3.9057981651903305e-4,-0.008470493278464835
-7.078385445568082e-4,-0.0014176910446211312,-2.484099907437154e-4,4.016002203946982e-4,-0.009385443295918982
-0.0010336144783427532,-0.0016435380456692919,-6.77744047250321e-4,3.3734647417838214e-4,-0.013163828030188843
-0.0014464198811806708,-0.002389956594142729,-6.094657763684542e-4,6.545079247826863e-4,-0.017874841637502022
-0.001444318213916759,-0.002708492209866573,-5.442526474773818e-4,7.401175414191251e-4,-0.01837507160269119
-9.805019717344665e-4,-0.0018642602292538606,-3.4920042090718734e-4,5.274811943458764e-4,-0.012775105706789356
-0.0010249295180683785,-0.0012570885769260273,-6.432806735863668e-4,2.192685967529334e-4,-0.012711679823678592
-0.0012068426829588727,-0.002190099674189171,-4.459762652638388e-4,6.131124027731028e-4,-0.01537867879043519
-0.0019862078173663467,-0.0024883929463153684,-0.0013752634018309579,3.9480526670520775e-4,-0.0250891705563409
-0.0022805313741000445,-0.0028215468722387702,-0.0014841590835101765,4.837970440038036e-4,-0.028619445665064622
-8.384504073580216e-4,-0.0016132713787724725,-3.076295502424777e-4,4.44895854005834e-4,-0.010668315456103169
-0.0015573147709455253,-0.0027953169715156166,-6.284129416964187e-4,7.604536403025414e-4,-0.0200173826503901
-0.0017635929911990118,-0.0032710173761167287,-6.467007694494008e-4,9.096387856055569e-4,-0.021990898675302163
-0.0017406084641958428,-0.0021447397075650796,-0.0010690072674164046,3.837186608679209e-4,-0.02252943192487451
-0.0013021106685480914,-0.0023702282125817563,-4.6443548013017994e-4,6.665886347202017e-4,-0.016465351249923297
-0.001619092423963648,-0.001979574826642762,-0.0010924250618341343,3.1314129276798847e-4,-0.02064748064027675
-0.00185521592841617,-0.002256244896667284,-0.0012551502193695423,3.4562183084922314e-4,-0.02358903915551806
-0.0014146538929312583,-0.002414506980366832,-5.854399248541865e-4,6.742676183453985e-4,-0.01801083644997084
-8.741721021614171e-4,-0.0018642467825044566,-2.263659305432843e-4,5.92990588932265e-4,-0.01098103600469711
-0.0012721659417725306,-0.0023180231187270306,-5.021900370444056e-4,6.36370808166224e-4,-0.016096667114442065
-5.525254515690683e-4,-8.58720951468946e-4,-2.476890475152774e-4,2.1586601138230634e-4,-0.0071977636073827355
-9.672667580778124e-4,-0.0017784304193645057,-3.6898478889570174e-4,4.928480073093419e-4,-0.01253768058213242
-0.0017567261102948368,-0.00236204372709978,-0.0013221567719169645,4.159522633861077e-4,-0.022201206782014676
-0.0011237426091713985,-0.001767392184040511,-7.84895263523704e-4,3.324759616444144e-4,-0.01456828323177452
-3.5468039837418034e-4,-5.696984551503134e-4,-1.5769837440174746e-4,1.450592015987207e-4,-0.004475256082293148
-0.001620134658426007,-0.0029502850449924,-6.254824761107086e-4,7.976257751945789e-4,-0.02112330500878961
-0.0014802269689017879,-0.002085309844424002,-0.0011018704528139177,3.879143351839855e-4,-0.01884667530473592
-0.0010329285339808654,-0.001894068873414335,-3.959672022189742e-4,5.107629483335907e-4,-0.013105063656707045
-0.0014941240288800142,-0.002242069557708775,-0.001055350377187338,4.075163862442147e-4,-0.018935483422178084
-0.0021217819640423274,-0.00407215455847778,-7.545715645820143e-4,0.0011293661411500772,-0.027480097326064327
-0.001339856305349102,-0.0019279845387671576,-9.334185074628329e-4,3.63528351281021e-4,-0.017386964657879648
-0.002054328721543515,-0.003944630838192203,-7.482346978699982e-4,0.0010751802748475234,-0.026079818590645135
-0.0013351981837349098,-0.0019948000972556503,-9.025296814373553e-4,3.8199438868020323e-4,-0.01691287223355159
-0.0017123057771187317,-0.003030724143255853,-6.615753293182484e-4,8.504450455413048e-4,-0.020943979833916628
-0.002093990127721191,-0.003586504464100504,-8.447346386366734e-4,9.77287267221721e-4,-0.026015067699078933
-0.0015872145036164038,-0.002275520078297567,-0.0011541098413346059,4.21058335814202e-4,-0.01989572491964372
-0.0018954194797033133,-0.0033019481735873032,-7.036669996000779e-4,9.269558362712748e-4,-0.024079072730851966
-7.972013236201427e-4,-0.0012552998144885054,-3.885598747733387e-4,3.061296867334987e-4,-0.009943463006581138
