Quantile,X,mu_interventional,mu_observational,confounding_bias,ace,d_obs_dx,ace_standardized
10%,36.1,3.214,3.326,0.1127,-0,-0.002,-0.0048
25%,42.94,3.21,3.306,0.0964,-0.001,-0.004,-0.0095
50%,54.32,3.199,3.265,0.0662,-0.001,-0.003,-0.0164
75%,65.71,3.182,3.247,0.0654,-0.002,0.001,-0.0227
90%,72.55,3.166,3.284,0.118,-0.002,0.009,-0.029
