x,mu_interventional,mu_observational,ace_interventional,ace_standardized,copula_xz_family,copula_yz_family,copula_xy_family,copula_xz_tau,copula_yz_tau,copula_xy_tau
31.545211466016777,3.215028654238734,3.3347804453703116,-2.468400640297666e-4,-0.0031547293191106986,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
32.713396008118764,3.214740299491563,3.333118100724934,-2.3623753165227804e-4,-0.003019224088711593,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
33.88158055022075,3.214476716173253,3.33161172863641,-3.206928226130508e-4,-0.004098601472586542,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
35.04976509232274,3.213991042695284,3.328869109298705,-4.077113406687019e-4,-0.005210738075267952,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
36.21794963442472,3.2135241520016353,3.326272962331376,-3.746383978779811e-4,-0.004788050685758218,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
37.38613417652671,3.213115749124726,3.324034587631023,-4.1649657108572583e-4,-0.005323017352461732,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
38.55431871862869,3.2125510622892737,3.3209898072070665,-4.761070687733224e-4,-0.006084866874422493,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
39.722503260730676,3.212003387288473,3.3180925011793327,-5.173950116792636e-4,-0.006612545736130429,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
40.890687802832666,3.211342236579665,3.314668234197135,-6.226043478274405e-4,-0.007957169343709797,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
42.05887234493465,3.210548753738518,3.310664861238942,-7.535263256596886e-4,-0.009630412314241303,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
43.22705688703664,3.2095817209682598,3.3059432467701964,-7.428919097839788e-4,-0.009494499598100246,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
44.39524142913862,3.2088130840475935,3.302314139579793,-6.948988327111729e-4,-0.008881126044050032,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
45.563425971240605,3.207958180818864,3.298407083776222,-7.554492920178425e-4,-0.009654988706949579,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
46.731610513342595,3.207048075677039,3.294398053675659,-8.868575033123645e-4,-0.01133444596431251,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
47.89979505544458,3.2058861543660306,3.289506076643704,-0.0010516526775744125,-0.013440603933181562,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
49.06797959754657,3.204591026873834,3.284353951252374,-0.0010156587919288146,-0.012980585553259281,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
