Quantile,X,mu_interventional,mu_observational,confounding_bias,ace,d_obs_dx,ace_standardized
10%,36.1,4.9,4.9,0,0,-0,0
25%,42.94,4.9,4.9,0,0,-0,0
50%,54.32,4.9,4.9,0,0,-0,0
75%,65.71,4.9,4.9,0,0,-0,0
90%,72.55,4.9,4.9,0,0,-0,0
